cpf_cliente;placa;modelo;marca;cor
701.815.694-77;CDB-6550;Virago;Yamaha;Preto
409.163.286-60;FBE-7782;YBR 125;Yamaha;Branco
757.816.660-36;CAF-5415;CG 125;Honda;Preto
981.894.943-92;FBE-7782;YBR 125;Yamaha;Branco
073.202.759-45;LEJ-4B96;Faser;Yamaha;Vermelha
629.680.888-74;FBD-1173;Biz;Honda;Preto
893.076.453-37;FBD-1173;Biz;Honda;Preto
158.660.877-07;ACH-6A95;CG Titan 150;Honda;Prata
962.178.727-06;DLE-1A56;Ka;Ford;Branco
597.955.221-91;CCI-5260;Fiesta;Ford;Prata
395.005.819-22;LDD-1002;Voyage;Volkswagen;Preto
286.150.469-21;KLA-7A63;Voyage;Volkswagen;Prata
891.575.889-70;EEL-8147;Gol;Volkswagen;Branco
746.115.849-09;BLB-5D66;Fiesta;Ford;Preto
900.206.435-78;IJA-7733;Celta;Chevrolet;Preto
191.921.293-07;KFA-3C03;Gol;Volkswagen;Preto
857.950.358-23;EKA-3455;Gol;Volkswagen;Vermelho
860.466.368-17;LLL-6246;Saveiro;Volkswagen;Prata
037.679.092-00;KBK-5248;Celta;Chevrolet;Prata
485.522.339-59;LIB-7295;Ka;Ford;Prata
288.667.376-58;FLL-2392;Corsa;Chevrolet;Prata
330.594.014-03;BKB-3810;Fiesta;Ford;Branco
842.022.641-69;ELF-7B90;Celta;Chevrolet;Branco
938.014.315-09;CCI-5260;Fiesta;Ford;Prata
311.756.371-73;EJI-7E35;Voyage;Volkswagen;Branco
300.766.852-25;EBI-3338;Fusion;Ford;Branco
645.329.387-08;BHI-3F56;Kombi;Volkswagen;Prata
570.776.506-93;JCF-7153;Kombi;Volkswagen;Branco
763.952.560-84;ILC-2428;Polo;Volkswagen;Branco
162.262.067-48;LCB-7951;Corsa;Chevrolet;Preto
694.235.242-06;HCA-6132;Polo;Volkswagen;Preto
787.327.017-30;LAE-4407;Fusion;Ford;Preto
574.746.905-35;BHI-3F56;Kombi;Volkswagen;Prata
618.874.220-05;BFC-3C01;Corsa;Chevrolet;Branco
782.603.942-86;JKF-6A99;Fusion;Ford;Prata
