cpf;nome_cliente;endereco;telefones
701.815.694-77;Timóteo Matos;Rua Pedro Silva Martins, Jardim Brasil, Amparo, SP;19-89701-0016,19-78456-5318
409.163.286-60;Xeila Martins da Silva;Av. 7 de setembro, Jardim Brasil, Americana, SP;19-50991-3548,19-16253-8452
757.816.660-36;Yara Martins Júnior;Praça Ivone Souza, Centro, Pedreira, SP;19-45874-5968
981.894.943-92;Luciana Silva;Rua Xailo Souza, Jardim Brasil, Jaguariúna, SP;19-28648-5271,19-26672-4185
073.202.759-45;Bruna Júnior Silva;Praça Antônio Silva Sobrinho, Jardim São Paulo, Jaguariúna, SP;19-84122-0639
629.680.888-74;Jaqueline de Souza Oliveira;Rua Pedro Martim, Parque das Flores, Campinas, SP;19-28291-6501,19-23494-6842
893.076.453-37;Gilberto Júnior Teixeira;Av. Paulista, Jardim São Paulo, Americana, SP;19-46951-3418,19-09537-6465
158.660.877-07;Timóteo Oliveira;Rua do Mel, Centro, Nova Odessa, SP;19-24690-8674
962.178.727-06;Xeila Souza Júnior;Rua Valter Souza, Jardim São Paulo, Pedreira, SP;19-94079-7258
597.955.221-91;Olga Martins;Av. 7 de setembro, Jardim Brasil, Pedreira, SP;19-23216-8260
395.005.819-22;Luis Teixeira;Rua Brito de Souza, Jardim São Paulo, Jaguariúna, SP;19-79315-4887,19-28587-1095
286.150.469-21;Pedro Filho;Praça Ivone Souza, Centro, Jaguariúna, SP;19-13412-6152
891.575.889-70;Yara Filho Filho;Praça Antônio Silva Sobrinho, Parque das Flores, Nova Odessa, SP;19-82981-7263
746.115.849-09;Gisele da Silva da Silva;Av. 7 de setembro, Centro, Campinas, SP;19-33407-0093
900.206.435-78;Ursula Neto Alves;Rua das Flores, Parque das Flores, Amparo, SP;19-86764-0889,19-39919-7731
191.921.293-07;Valter Souza Souza;Av. 7 de setembro, Parque das Flores, Nova Odessa, SP;19-12588-7461
857.950.358-23;Ivone Filho;Praça dos Trabalhadores, Centro, Americana, SP;19-10324-0937,19-44573-3988
860.466.368-17;Queila Neto;Rua das Flores, Centro, Amparo, SP;19-32444-1362,19-08110-5774
037.679.092-00;Xailo Mattos Matos;Rua das Rosas, Centro, Jaguariúna, SP;19-96751-8859,19-39198-5856
485.522.339-59;Carla Martim da Silva;Rua Pedro Martim, Jardim Brasil, Pedreira, SP;19-90594-5718,19-76807-0938
288.667.376-58;Evandro Júnior;Av. Brasil, Parque das Flores, Amparo, SP;19-03869-4839,19-58666-9650
330.594.014-03;Evandro Mattos;Rua do açúcar, Parque das Flores, Jaguariúna, SP;19-27738-5617,19-54009-4224
842.022.641-69;Antônio Sobrinho Neto;Rua Valter Souza, Jardim Brasil, Campinas, SP;19-14211-9705
938.014.315-09;Carla Teixeira;Av. Brasil, Centro, Americana, SP;19-18249-9515
311.756.371-73;Gilberto da Silva Filho;Av. Paulista, Jardim Brasil, Americana, SP;19-22684-1551,19-78753-3832
300.766.852-25;Yago Custódio;Av. Paulista, Jardim São Paulo, Pedreira, SP;19-92915-9892
645.329.387-08;Brito Teixeira;Av. XV de Novembro, Jardim Brasil, Nova Odessa, SP;19-79175-5657
570.776.506-93;Flávia Custódio Teixeira;Rua das Rosas, Jardim Brasil, Jaguariúna, SP;19-46525-2369,19-27087-4317
763.952.560-84;Gisele Júnior Alves;Rua do Mel, Parque das Flores, Pedreira, SP;19-82511-7779
162.262.067-48;João Martim de Souza;Av. Brasil, Jardim Brasil, Amparo, SP;19-60738-1866
694.235.242-06;Jaqueline Teixeira;Av. Brasil, Jardim São Paulo, Pedreira, SP;19-18754-3884,19-49906-7976
787.327.017-30;Tatiane Alves;Praça dos Trabalhadores, Parque das Flores, Pedreira, SP;19-41740-7966
574.746.905-35;Hugo Oliveira;Rua das Flores, Parque das Flores, Campinas, SP;19-73735-5913,19-00292-9177
618.874.220-05;Carla Souza Mattos;Rua do açúcar, Jardim São Paulo, Jaguariúna, SP;19-98610-0734,19-08925-7163
782.603.942-86;Fábio Neto Silva;Rua do açúcar, Jardim São Paulo, Amparo, SP;19-86044-9337,19-77597-2120
