cpf_cliente;entrada;saida;valor_estacionamento;id_escaionamento
701.815.694-77;06/03/2022 11:44;06/03/2022 16:14;10.00;134
409.163.286-60;04/03/2022 10:56;04/03/2022 15:11;10.00;90
757.816.660-36;24/02/2022 08:31;24/02/2022 11:01;7.50;3
701.815.694-77;25/02/2022 11:51;25/02/2022 15:21;8.75;14
981.894.943-92;27/02/2022 10:59;27/02/2022 14:14;8.75;35
981.894.943-92;28/02/2022 09:19;28/02/2022 12:04;7.50;43
073.202.759-45;03/03/2022 10:40;03/03/2022 14:55;10.00;85
701.815.694-77;07/03/2022 09:22;07/03/2022 13:07;8.75;143
629.680.888-74;08/03/2022 11:41;08/03/2022 13:41;7.50;159
073.202.759-45;25/02/2022 09:51;25/02/2022 12:06;7.50;7
893.076.453-37;04/03/2022 08:25;04/03/2022 11:55;8.75;106
409.163.286-60;25/02/2022 11:55;25/02/2022 14:10;7.50;10
981.894.943-92;05/03/2022 08:14;05/03/2022 09:29;6.25;110
981.894.943-92;05/03/2022 11:30;05/03/2022 13:45;7.50;119
073.202.759-45;06/03/2022 12:28;06/03/2022 16:43;10.00;126
073.202.759-45;05/03/2022 10:00;05/03/2022 12:15;7.50;109
701.815.694-77;08/03/2022 10:25;08/03/2022 14:55;10.00;155
158.660.877-07;26/02/2022 12:01;26/02/2022 16:01;10.00;22
629.680.888-74;27/02/2022 11:05;27/02/2022 15:20;10.00;34
409.163.286-60;01/03/2022 10:56;01/03/2022 13:11;7.50;54
981.894.943-92;01/03/2022 08:30;01/03/2022 13:00;10.00;61
981.894.943-92;01/03/2022 09:47;01/03/2022 12:02;7.50;63
158.660.877-07;01/03/2022 08:07;01/03/2022 12:37;10.00;64
893.076.453-37;26/02/2022 12:38;26/02/2022 16:38;10.00;26
629.680.888-74;04/03/2022 09:38;04/03/2022 14:08;10.00;92
757.816.660-36;06/03/2022 10:43;06/03/2022 12:28;6.25;127
409.163.286-60;06/03/2022 08:48;06/03/2022 12:18;8.75;133
962.178.727-06;26/02/2022 11:45;26/02/2022 13:30;12.50;17
597.955.221-91;26/02/2022 08:49;26/02/2022 12:49;20.00;18
395.005.819-22;26/02/2022 12:40;26/02/2022 14:25;12.50;23
286.150.469-21;27/02/2022 09:09;27/02/2022 12:54;17.50;38
891.575.889-70;27/02/2022 12:58;27/02/2022 15:43;15.00;41
409.163.286-60;02/03/2022 11:02;02/03/2022 14:17;8.75;77
757.816.660-36;03/03/2022 09:39;03/03/2022 10:39;6.25;87
746.115.849-09;04/03/2022 09:50;04/03/2022 11:50;15.00;97
900.206.435-78;05/03/2022 09:05;05/03/2022 13:35;20.00;115
191.921.293-07;06/03/2022 08:21;06/03/2022 12:21;20.00;129
701.815.694-77;06/03/2022 12:16;06/03/2022 16:31;10.00;135
