cpf_cliente;id_vaga;tipo_vaga;descricao_vaga;valor_vaga
701.815.694-77;1;Moto;Vaga para moto;5.00
409.163.286-60;2;Moto;Vaga para moto;5.00
757.816.660-36;3;Moto;Vaga para moto;5.00
701.815.694-77;3;Moto;Vaga para moto;5.00
981.894.943-92;3;Moto;Vaga para moto;5.00
981.894.943-92;3;Moto;Vaga para moto;5.00
073.202.759-45;3;Moto;Vaga para moto;5.00
701.815.694-77;3;Moto;Vaga para moto;5.00
629.680.888-74;3;Moto;Vaga para moto;5.00
073.202.759-45;4;Moto;Vaga para moto;5.00
893.076.453-37;4;Moto;Vaga para moto;5.00
409.163.286-60;5;Moto;Vaga para moto;5.00
981.894.943-92;5;Moto;Vaga para moto;5.00
981.894.943-92;5;Moto;Vaga para moto;5.00
073.202.759-45;5;Moto;Vaga para moto;5.00
073.202.759-45;6;Moto;Vaga para moto;5.00
701.815.694-77;6;Moto;Vaga para moto;5.00
158.660.877-07;7;Moto;Vaga para moto;5.00
629.680.888-74;7;Moto;Vaga para moto;5.00
409.163.286-60;7;Moto;Vaga para moto;5.00
981.894.943-92;7;Moto;Vaga para moto;5.00
981.894.943-92;7;Moto;Vaga para moto;5.00
158.660.877-07;7;Moto;Vaga para moto;5.00
893.076.453-37;8;Moto;Vaga para moto;5.00
629.680.888-74;8;Moto;Vaga para moto;5.00
757.816.660-36;8;Moto;Vaga para moto;5.00
409.163.286-60;8;Moto;Vaga para moto;5.00
962.178.727-06;9;Carro;Vaga para carro;10.00
597.955.221-91;9;Carro;Vaga para carro;10.00
395.005.819-22;9;Carro;Vaga para carro;10.00
286.150.469-21;9;Carro;Vaga para carro;10.00
891.575.889-70;9;Carro;Vaga para carro;10.00
409.163.286-60;9;Carro;Vaga para carro;10.00
757.816.660-36;9;Carro;Vaga para carro;10.00
746.115.849-09;9;Carro;Vaga para carro;10.00
900.206.435-78;9;Carro;Vaga para carro;10.00
191.921.293-07;9;Carro;Vaga para carro;10.00
701.815.694-77;9;Carro;Vaga para carro;10.00
158.660.877-07;9;Carro;Vaga para carro;10.00
395.005.819-22;9;Carro;Vaga para carro;10.00
857.950.358-23;9;Carro;Vaga para carro;10.00
860.466.368-17;10;Carro;Vaga para carro;10.00
037.679.092-00;10;Carro;Vaga para carro;10.00
485.522.339-59;10;Carro;Vaga para carro;10.00
288.667.376-58;10;Carro;Vaga para carro;10.00
597.955.221-91;10;Carro;Vaga para carro;10.00
286.150.469-21;10;Carro;Vaga para carro;10.00
330.594.014-03;10;Carro;Vaga para carro;10.00
842.022.641-69;11;Carro;Vaga para carro;10.00
330.594.014-03;11;Carro;Vaga para carro;10.00
938.014.315-09;11;Carro;Vaga para carro;10.00
900.206.435-78;11;Carro;Vaga para carro;10.00
311.756.371-73;11;Carro;Vaga para carro;10.00
300.766.852-25;11;Carro;Vaga para carro;10.00
597.955.221-91;11;Carro;Vaga para carro;10.00
645.329.387-08;11;Carro;Vaga para carro;10.00
300.766.852-25;12;Carro;Vaga para carro;10.00
746.115.849-09;12;Carro;Vaga para carro;10.00
311.756.371-73;12;Carro;Vaga para carro;10.00
037.679.092-00;12;Carro;Vaga para carro;10.00
570.776.506-93;12;Carro;Vaga para carro;10.00
311.756.371-73;12;Carro;Vaga para carro;10.00
763.952.560-84;12;Carro;Vaga para carro;10.00
938.014.315-09;12;Carro;Vaga para carro;10.00
286.150.469-21;12;Carro;Vaga para carro;10.00
857.950.358-23;12;Carro;Vaga para carro;10.00
162.262.067-48;12;Carro;Vaga para carro;10.00
330.594.014-03;12;Carro;Vaga para carro;10.00
962.178.727-06;12;Carro;Vaga para carro;10.00
645.329.387-08;12;Carro;Vaga para carro;10.00
694.235.242-06;13;Carro;Vaga para carro;10.00
694.235.242-06;13;Carro;Vaga para carro;10.00
787.327.017-30;13;Carro;Vaga para carro;10.00
574.746.905-35;13;Carro;Vaga para carro;10.00
191.921.293-07;13;Carro;Vaga para carro;10.00
694.235.242-06;13;Carro;Vaga para carro;10.00
330.594.014-03;13;Carro;Vaga para carro;10.00
288.667.376-58;14;Carro;Vaga para carro;10.00
574.746.905-35;14;Carro;Vaga para carro;10.00
597.955.221-91;14;Carro;Vaga para carro;10.00
570.776.506-93;14;Carro;Vaga para carro;10.00
395.005.819-22;14;Carro;Vaga para carro;10.00
938.014.315-09;14;Carro;Vaga para carro;10.00
597.955.221-91;14;Carro;Vaga para carro;10.00
962.178.727-06;14;Carro;Vaga para carro;10.00
938.014.315-09;14;Carro;Vaga para carro;10.00
618.874.220-05;14;Carro;Vaga para carro;10.00
763.952.560-84;14;Carro;Vaga para carro;10.00
782.603.942-86;14;Carro;Vaga para carro;10.00
618.874.220-05;14;Carro;Vaga para carro;10.00
900.206.435-78;15;Carro;Vaga para carro;10.00
395.005.819-22;15;Carro;Vaga para carro;10.00
860.466.368-17;15;Carro;Vaga para carro;10.00
395.005.819-22;15;Carro;Vaga para carro;10.00
842.022.641-69;15;Carro;Vaga para carro;10.00
900.206.435-78;15;Carro;Vaga para carro;10.00
037.679.092-00;15;Carro;Vaga para carro;10.00
962.178.727-06;15;Carro;Vaga para carro;10.00
618.874.220-05;15;Carro;Vaga para carro;10.00
694.235.242-06;15;Carro;Vaga para carro;10.00
191.921.293-07;16;Carro;Vaga para carro;10.00
570.776.506-93;16;Carro;Vaga para carro;10.00
645.329.387-08;16;Carro;Vaga para carro;10.00
597.955.221-91;16;Carro;Vaga para carro;10.00
618.874.220-05;16;Carro;Vaga para carro;10.00
288.667.376-58;16;Carro;Vaga para carro;10.00
597.955.221-91;16;Carro;Vaga para carro;10.00
288.667.376-58;16;Carro;Vaga para carro;10.00
746.115.849-09;16;Carro;Vaga para carro;10.00
787.327.017-30;17;Carro;Vaga para carro;10.00
857.950.358-23;17;Carro;Vaga para carro;10.00
763.952.560-84;17;Carro;Vaga para carro;10.00
485.522.339-59;17;Carro;Vaga para carro;10.00
962.178.727-06;17;Carro;Vaga para carro;10.00
694.235.242-06;17;Carro;Vaga para carro;10.00
962.178.727-06;17;Carro;Vaga para carro;10.00
694.235.242-06;17;Carro;Vaga para carro;10.00
286.150.469-21;17;Carro;Vaga para carro;10.00
782.603.942-86;17;Carro;Vaga para carro;10.00
857.950.358-23;18;Carro;Vaga para carro;10.00
618.874.220-05;18;Carro;Vaga para carro;10.00
162.262.067-48;18;Carro;Vaga para carro;10.00
857.950.358-23;18;Carro;Vaga para carro;10.00
891.575.889-70;18;Carro;Vaga para carro;10.00
787.327.017-30;18;Carro;Vaga para carro;10.00
191.921.293-07;18;Carro;Vaga para carro;10.00
395.005.819-22;18;Carro;Vaga para carro;10.00
311.756.371-73;18;Carro;Vaga para carro;10.00
597.955.221-91;18;Carro;Vaga para carro;10.00
597.955.221-91;18;Carro;Vaga para carro;10.00
570.776.506-93;18;Carro;Vaga para carro;10.00
618.874.220-05;18;Carro;Vaga para carro;10.00
763.952.560-84;18;Carro;Vaga para carro;10.00
763.952.560-84;19;Carro;Vaga para carro;10.00
037.679.092-00;19;Carro;Vaga para carro;10.00
857.950.358-23;19;Carro;Vaga para carro;10.00
286.150.469-21;19;Carro;Vaga para carro;10.00
891.575.889-70;19;Carro;Vaga para carro;10.00
300.766.852-25;19;Carro;Vaga para carro;10.00
891.575.889-70;19;Carro;Vaga para carro;10.00
570.776.506-93;19;Carro;Vaga para carro;10.00
570.776.506-93;20;Carro;Vaga para carro;10.00
891.575.889-70;20;Carro;Vaga para carro;10.00
286.150.469-21;20;Carro;Vaga para carro;10.00
286.150.469-21;20;Carro;Vaga para carro;10.00
694.235.242-06;20;Carro;Vaga para carro;10.00
763.952.560-84;20;Carro;Vaga para carro;10.00
286.150.469-21;21;Carro;Vaga para carro;10.00
645.329.387-08;21;Carro;Vaga para carro;10.00
763.952.560-84;21;Carro;Vaga para carro;10.00
782.603.942-86;21;Carro;Vaga para carro;10.00
763.952.560-84;21;Carro;Vaga para carro;10.00
191.921.293-07;21;Carro;Vaga para carro;10.00
842.022.641-69;21;Carro;Vaga para carro;10.00
330.594.014-03;21;Carro;Vaga para carro;10.00
763.952.560-84;21;Carro;Vaga para carro;10.00
485.522.339-59;21;Carro;Vaga para carro;10.00
485.522.339-59;21;Carro;Vaga para carro;10.00
300.766.852-25;21;Carro;Vaga para carro;10.00
746.115.849-09;21;Carro;Vaga para carro;10.00
746.115.849-09;21;Carro;Vaga para carro;10.00
395.005.819-22;21;Carro;Vaga para carro;10.00
597.955.221-91;21;Carro;Vaga para carro;10.00
962.178.727-06;21;Carro;Vaga para carro;10.00
570.776.506-93;21;Carro;Vaga para carro;10.00
645.329.387-08;21;Carro;Vaga para carro;10.00
300.766.852-25;21;Carro;Vaga para carro;10.00
485.522.339-59;21;Carro;Vaga para carro;10.00
