id_aluguel;placa;cpf;observacao;aluguel;devolucao;diaria;valor
1;DEA-7981;211.983.664-78;OK;2022-03-17;2022-03-24;80;560
2;CBC-4945;258.537.606-02;OK;2022-04-02;2022-04-10;120;960
3;BEE-7735;726.222.683-51;OK;2022-04-18;2022-04-25;110;770
4;CBA-4403;226.213.963-64;OK;2022-05-04;2022-05-14;100;1000
5;BBC-8504;661.025.829-50;OK;2022-05-20;2022-05-27;90;630
6;BEB-5885;609.983.828-76;Retrovisor direito quebrado;2022-06-05;2022-06-14;90;910
7;EDB-2475;487.140.614-81;OK;2022-06-25;2022-06-30;150;750
8;CBC-4945;609.983.828-76;OK;2022-07-15;2022-07-22;120;840
9;EDB-2475;211.983.664-78;OK;2022-08-04;2022-08-08;150;600
10;DEA-7981;211.983.664-78;Sem estepe;2022-08-24;2022-08-30;80;580
11;CBA-4403;487.140.614-81;OK;2022-09-13;2022-09-20;100;700
12;BBC-8504;258.537.606-02;OK;2022-09-16;2022-09-24;90;720
13;BEE-7735;228.160.778-02;OK;2022-09-19;2022-09-24;110;550
14;BEB-5885;908.554.137-94;Bancos sujos;2022-09-22;2022-09-27;90;550
15;CBA-4403;609.983.828-76;OK;2022-09-25;2022-10-05;100;1000
16;BEE-7735;735.003.345-12;OK;2022-09-28;2022-10-05;110;770
17;BBC-8504;211.983.664-78;OK;2022-10-01;2022-10-05;90;360
18;CBC-4945;487.140.614-81;V�mito de beb�;2022-10-04;2022-10-13;120;1180
19;DEA-7981;226.213.963-64;OK;2022-10-07;2022-10-11;80;320
20;CBC-4945;487.140.614-81;OK;2022-10-16;2022-10-26;120;1200
21;EDB-2475;908.554.137-94;OK;2022-10-25;2022-10-30;150;750
22;CBA-4403;726.222.683-51;OK;2022-11-03;2022-11-13;100;1000
23;BEB-5885;228.160.778-02;OK;2022-11-12;2022-11-15;90;270
24;BBC-8504;908.554.137-94;OK;2022-11-21;2022-11-30;90;810
25;DEA-7981;726.222.683-51;OK;2022-11-30;2022-12-03;80;240
26;CBC-4945;211.983.664-78;OK;2022-12-09;2022-12-15;120;720
